scenario,rep,n_inducing,pi_clip,method,estimand,true_value,posterior_mean,bias,abs_error,squared_error,ci_lower,ci_upper,ci_width,covered,posterior_sd
strong_heterogeneous,0,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,0.818749113720273,-0.18125088627972696,0.18125088627972696,0.032851883777186515,0.5395969039626284,1.0979164641359647,0.5583195601733363,1.0,0.14339043872951365
strong_heterogeneous,1,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,0.8882481069134289,-0.11175189308657107,0.11175189308657107,0.012488485608432413,0.610248184016754,1.1645736978214651,0.5543255138047112,1.0,0.14321524888726167
strong_heterogeneous,2,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,0.8860889751984048,-0.1139110248015952,0.1139110248015952,0.012975721571349639,0.5952651142364271,1.1791614974544566,0.5838963832180295,1.0,0.1494093858368409
strong_heterogeneous,3,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,1.0672198774198232,0.06721987741982316,0.06721987741982316,0.0045185119203360515,0.7550012066985797,1.3687833165550858,0.613782109856506,1.0,0.1547187664870312
strong_heterogeneous,4,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,0.995404273944481,-0.004595726055518945,0.004595726055518945,2.112069797737572e-05,0.703551900771187,1.2876333485601181,0.5840814477889311,1.0,0.14869296792943898
strong_heterogeneous,5,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,1.249173835082204,0.24917383508220392,0.24917383508220392,0.062087600089573355,0.9543045223714224,1.5258055900389733,0.5715010676675509,1.0,0.14815268964299896
strong_heterogeneous,6,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,1.095719550134324,0.09571955013432398,0.09571955013432398,0.009162232277917362,0.8106571057105691,1.3938304251187839,0.5831733194082147,1.0,0.14978401739774308
strong_heterogeneous,7,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,1.088050106399195,0.08805010639919497,0.08805010639919497,0.007752821236909555,0.8219244559661346,1.387054101853759,0.5651296458876244,1.0,0.14444129797424599
strong_heterogeneous,8,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,1.1125809456205744,0.11258094562057441,0.11258094562057441,0.012674469316822734,0.8465831900469325,1.393849315813943,0.5472661257670104,1.0,0.14047817898773357
strong_heterogeneous,9,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,1.115806330062958,0.11580633006295793,0.11580633006295793,0.013411106082650753,0.8353880441809323,1.3866072979335262,0.551219253752594,1.0,0.14019572445007356
strong_heterogeneous,10,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,0.9323922085335155,-0.06760779146648455,0.06760779146648455,0.00457081346697566,0.6081734449386971,1.2360866647369773,0.6279132197982802,1.0,0.15794084705586178
strong_heterogeneous,11,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,1.140442345419717,0.140442345419717,0.140442345419717,0.019724052386991108,0.8364601031573752,1.433413125027356,0.5969530218699809,1.0,0.15247795433992067
strong_heterogeneous,12,160,0.02,exact_gp_onestep_logistic_pi,population_ate_bb,1.0,1.1027216497839085,0.10272164978390852,0.10272164978390852,0.010551737334327953,0.823820499396002,1.360433553888686,0.536613054492684,1.0,0.1340619520030506
