scenario,rep,n_rff,pi_clip,method,estimand,true_value,posterior_mean,bias,abs_error,squared_error,ci_lower,ci_upper,ci_width,covered,posterior_sd
weak_heterogeneous,51,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8052786853610681,-0.19472131463893194,0.19472131463893194,0.03791639037471393,0.5122464987220768,1.0889759543135393,0.5767294555914625,1.0,0.14748697261058963
weak_heterogeneous,52,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0612393445180268,0.06123934451802682,0.06123934451802682,0.0037502573169975813,0.7697182115011831,1.3531218518790014,0.5834036403778182,1.0,0.1537321914874539
weak_heterogeneous,53,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.7892105771546448,-0.21078942284535518,0.21078942284535518,0.044432180783477944,0.4873146241662725,1.0951453829342181,0.6078307587679457,1.0,0.15396916809655312
weak_heterogeneous,54,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0282902832069531,0.02829028320695315,0.02829028320695315,0.0008003401239296153,0.7282551871257685,1.3510631101717903,0.6228079230460217,1.0,0.1605757558841812
weak_heterogeneous,55,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9225720725387982,-0.07742792746120175,0.07742792746120175,0.00599508395093712,0.6117374298336126,1.245098376222899,0.6333609463892865,1.0,0.16340092871772896
weak_heterogeneous,56,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.1335194606514525,0.13351946065145248,0.13351946065145248,0.01782744637265477,0.8143375319191399,1.4445005800954296,0.6301630481762897,1.0,0.1645878027739626
weak_heterogeneous,57,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8523317196048472,-0.14766828039515278,0.14766828039515278,0.021805921034861463,0.5384491216398991,1.1552869320088515,0.6168378103689524,1.0,0.1576077235296682
weak_heterogeneous,58,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9769981980647071,-0.023001801935292887,0.023001801935292887,0.0005290828922704436,0.656401321303814,1.3195208892089418,0.6631195679051278,1.0,0.16947518323822455
weak_heterogeneous,59,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.1705830760971836,0.1705830760971836,0.1705830760971836,0.029098585850777528,0.8503548380674134,1.491520949689769,0.6411661116223556,1.0,0.1627898139867335
weak_heterogeneous,60,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9044043762120482,-0.09559562378795183,0.09559562378795183,0.009138523287407623,0.6171354180154718,1.2057566614812087,0.588621243465737,1.0,0.1515057296527752
